process_id	totalOuts
DAMAGE	73739
POLY	67736
BSGDEP	68745
NTM	64108
NOXE	61950
NOXE	61950
NDEP	64082
PTM	63007
TOXE	64837
CLEANTEX	65608
PDRIVE	68829
ARC_BARC	66370
PBA	68218
LCM	65575
SEED	67956
FGA	67227
PLM	66277
EDG_CTR	64847
PLATING	69524
ETCHBK	72997
HST	67878
TEST	65906
