process_id,totalOuts
DAMAGE,153544
POLY,152670
BSGDEP,156990
NTM,159025
NOXE,157902
NDEP,155661
PTM,155615
TOXE,149371
CLEANTEX,149215
PDRIVE,155967
ARC_BARC,154203
PBA,153510
LCM,155189
SEED,159033
FGA,158938
PLM,156662
EDG_CTR,157611
PLATING,156713
ETCHBK,159029
HST,159504
TEST,152636
