process_id,totalOuts
DAMAGE,63820
POLY,63837
BSGDEP,61733
NTM,67597
NOXE,70476
NDEP,66432
PTM,66540
TOXE,64985
CLEANTEX,65059
PDRIVE,71215
ARC_BARC,64164
PBA,61345
LCM,68317
SEED,66797
FGA,63346
PLM,65363
EDG_CTR,64521
PLATING,66376
ETCHBK,69219
HST,64578
TEST,59964
