hours,outs,dppm
2017-10-02 06:30,13297,676
2017-10-02 07:30,13277,677
2017-10-02 08:30,11616,516
2017-10-02 09:30,14356,70
2017-10-02 10:30,11713,1449
2017-10-02 11:30,10427,1532
2017-10-02 12:30,13423,1562
2017-10-02 13:30,1992,1003
2017-10-02 14:30,0,0
2017-10-02 15:30,0,0
2017-10-02 16:30,0,0
2017-10-02 17:30,0,0
