hours,outs,dppm
2017-10-02 06:30,13896,432
2017-10-02 07:30,14930,803
2017-10-02 08:30,14469,691
2017-10-02 09:30,8974,334
2017-10-02 10:30,12000,83
2017-10-02 11:30,10984,273
2017-10-02 12:30,8489,1646
2017-10-02 13:30,3995,250
2017-10-02 14:30,0,0
2017-10-02 15:30,0,0
2017-10-02 16:30,0,0
2017-10-02 17:30,0,0
